English Profession
He is a Application analyst
He is a Computer operator
He is a Computer repair technician
He is a Computer scientist
He is a Computer analyst
He is a Data entry clerk
He is a Database administrator
He is a Data analyst
He is a Data scientist
He is a Network analyst
He is a Network administrator
He is a Programmer
He is a Security engineer
He is a Software analyst
He is a Software design
He is a Software engineer
He is a Software quality analyst
He is a System Administrator
He is a Web developer
She is a Application analyst
She is a Computer operator
She is a Computer repair technician
She is a Computer scientist
She is a Computer analyst
She is a Data entry clerk
She is a Database administrator
She is a Data analyst
She is a Data scientist
She is a Network analyst
She is a Network administrator
She is a Programmer
She is a Security engineer
She is a Software analyst
She is a Software design
She is a Software engineer
She is a Software quality analyst
She is a System Administrator
She is a Web developer
