English Profession
He is a Auto mechanic
He is a Beader
He is a Filling station attendant
He is a Foreman
He is a Forewoman
He is a Maintenance engineering
He is a Mechanic
He is a Miller
He is a Moldmaker
He is a Panel beater
He is a Patternmaker
He is a Plant operator
He is a Plumber
He is a Sawfiler
He is a Shop foreman
He is a Shop forewoman
He is a Soaper
He is a Stationary engineer
He is a Wheelwright
He is a Woodworkers
He is a Bartender
He is a Waiter
He is a Waitress
He is a Construction worker
He is a Cashier
He is a Factory worker
She is a Auto mechanic
She is a Beader
She is a Filling station attendant
She is a Foreman
She is a Forewoman
She is a Maintenance engineering
She is a Mechanic
She is a Miller
She is a Moldmaker
She is a Panel beater
She is a Patternmaker
She is a Plant operator
She is a Plumber
She is a Sawfiler
She is a Shop foreman
She is a Shop forewoman
She is a Soaper
She is a Stationary engineer
She is a Wheelwright
She is a Woodworkers
She is a Bartender
She is a Waiter
She is a Waitress
She is a Construction worker
She is a Cashier
She is a Factory worker
